"","Year","Value","Biological_Comp","Gender"
"1",1,7574276.24,"Susceptible","Men"
"2",2,7698629.52,"Susceptible","Men"
"3",3,7834684.43,"Susceptible","Men"
"4",4,7971211.52,"Susceptible","Men"
"5",5,8102258.31,"Susceptible","Men"
"6",6,8108620.41,"Susceptible","Men"
"7",7,8111236.83,"Susceptible","Men"
"8",8,8112324.29,"Susceptible","Men"
"9",9,8113551.72,"Susceptible","Men"
"10",10,8115999.17,"Susceptible","Men"
"11",11,8120271.78,"Susceptible","Men"
"12",12,8126597.77,"Susceptible","Men"
"13",13,8134889,"Susceptible","Men"
"14",14,8144798.93,"Susceptible","Men"
"15",15,8155809.31,"Susceptible","Men"
"16",16,8167349.47,"Susceptible","Men"
"17",17,8296408.71,"Susceptible","Men"
"18",18,8415693.81,"Susceptible","Men"
"19",19,8525101.36,"Susceptible","Men"
"20",20,8625126.53,"Susceptible","Men"
"21",21,8716657.57,"Susceptible","Men"
"22",22,8800762.4,"Susceptible","Men"
"23",23,8878513.3,"Susceptible","Men"
"24",24,8950862.79,"Susceptible","Men"
"25",25,9018573.3,"Susceptible","Men"
"26",26,9082197.69,"Susceptible","Men"
"27",27,9142100.86,"Susceptible","Men"
"28",28,9198507.74,"Susceptible","Men"
"29",29,9251561.93,"Susceptible","Men"
"30",30,9301381.29,"Susceptible","Men"
"31",1,10062130.4,"Susceptible","Women"
"32",2,10124058.72,"Susceptible","Women"
"33",3,10163812.2,"Susceptible","Women"
"34",4,10189677.41,"Susceptible","Women"
"35",5,10206535.02,"Susceptible","Women"
"36",6,10046035.07,"Susceptible","Women"
"37",7,9891253.27,"Susceptible","Women"
"38",8,9744076.28,"Susceptible","Women"
"39",9,9605708.83,"Susceptible","Women"
"40",10,9476838.17,"Susceptible","Women"
"41",11,9357749.81,"Susceptible","Women"
"42",12,9248419.25,"Susceptible","Women"
"43",13,9148603.32,"Susceptible","Women"
"44",14,9057939.46,"Susceptible","Women"
"45",15,8976043.85,"Susceptible","Women"
"46",16,8902591.57,"Susceptible","Women"
"47",17,8988457.26,"Susceptible","Women"
"48",18,9079001.63,"Susceptible","Women"
"49",19,9173364.2,"Susceptible","Women"
"50",20,9270856.08,"Susceptible","Women"
"51",21,9370898.36,"Susceptible","Women"
"52",22,9472965.05,"Susceptible","Women"
"53",23,9576544.41,"Susceptible","Women"
"54",24,9681112.17,"Susceptible","Women"
"55",25,9786110.12,"Susceptible","Women"
"56",26,9890930.09,"Susceptible","Women"
"57",27,9994908.62,"Susceptible","Women"
"58",28,10097336.92,"Susceptible","Women"
"59",29,10197486.62,"Susceptible","Women"
"60",30,10294646.25,"Susceptible","Women"
"61",1,914379.79,"Infected","Men"
"62",2,1046303.22,"Infected","Men"
"63",3,1151560.56,"Infected","Men"
"64",4,1241018.02,"Infected","Men"
"65",5,1321325.64,"Infected","Men"
"66",6,1392882.87,"Infected","Men"
"67",7,1454143.79,"Infected","Men"
"68",8,1506240.02,"Infected","Men"
"69",9,1549987.94,"Infected","Men"
"70",10,1586073.56,"Infected","Men"
"71",11,1615123.66,"Infected","Men"
"72",12,1637717.56,"Infected","Men"
"73",13,1654384.1,"Infected","Men"
"74",14,1665610.96,"Infected","Men"
"75",15,1671873.28,"Infected","Men"
"76",16,1673671.51,"Infected","Men"
"77",17,1675819.61,"Infected","Men"
"78",18,1682708.56,"Infected","Men"
"79",19,1694141.25,"Infected","Men"
"80",20,1709827.99,"Infected","Men"
"81",21,1729425.77,"Infected","Men"
"82",22,1752551.19,"Infected","Men"
"83",23,1778770.71,"Infected","Men"
"84",24,1807580.04,"Infected","Men"
"85",25,1838388.06,"Infected","Men"
"86",26,1870518,"Infected","Men"
"87",27,1903231.2,"Infected","Men"
"88",28,1935770.72,"Infected","Men"
"89",29,1967416.21,"Infected","Men"
"90",30,1997539.31,"Infected","Men"
"91",1,977649.38,"Infected","Women"
"92",2,967800.49,"Infected","Women"
"93",3,974042.07,"Infected","Women"
"94",4,989623.47,"Infected","Women"
"95",5,1010481.1,"Infected","Women"
"96",6,1030523.37,"Infected","Women"
"97",7,1048793.48,"Infected","Women"
"98",8,1063887.64,"Infected","Women"
"99",9,1074949.4,"Infected","Women"
"100",10,1081534.12,"Infected","Women"
"101",11,1083510.63,"Infected","Women"
"102",12,1080985.52,"Infected","Women"
"103",13,1074246.14,"Infected","Women"
"104",14,1063719.75,"Infected","Women"
"105",15,1049943.44,"Infected","Women"
"106",16,1033537.22,"Infected","Women"
"107",17,1018620.54,"Infected","Women"
"108",18,1005295.72,"Infected","Women"
"109",19,994611.04,"Infected","Women"
"110",20,987413.96,"Infected","Women"
"111",21,984319.14,"Infected","Women"
"112",22,985691.92,"Infected","Women"
"113",23,991653.69,"Infected","Women"
"114",24,1002103.83,"Infected","Women"
"115",25,1016750.01,"Infected","Women"
"116",26,1035141.6,"Infected","Women"
"117",27,1056704.91,"Infected","Women"
"118",28,1080780.63,"Infected","Women"
"119",29,1106663.06,"Infected","Women"
"120",30,1133639.32,"Infected","Women"
"121",1,4541586,"P.Immune","Men"
"122",2,4371229.34,"P.Immune","Men"
"123",3,4208022.37,"P.Immune","Men"
"124",4,4048647.71,"P.Immune","Men"
"125",5,3890919.33,"P.Immune","Men"
"126",6,3734138.62,"P.Immune","Men"
"127",7,3577994.62,"P.Immune","Men"
"128",8,3422461.83,"P.Immune","Men"
"129",9,3267675.92,"P.Immune","Men"
"130",10,3113808.17,"P.Immune","Men"
"131",11,2961115.07,"P.Immune","Men"
"132",12,2810087.05,"P.Immune","Men"
"133",13,2661605.59,"P.Immune","Men"
"134",14,2517027.63,"P.Immune","Men"
"135",15,2378146.14,"P.Immune","Men"
"136",16,2247020.83,"P.Immune","Men"
"137",17,2125905.7,"P.Immune","Men"
"138",18,2017555.82,"P.Immune","Men"
"139",19,1924266.44,"P.Immune","Men"
"140",20,1847472.43,"P.Immune","Men"
"141",21,1787716.04,"P.Immune","Men"
"142",22,1744717.15,"P.Immune","Men"
"143",23,1717504.63,"P.Immune","Men"
"144",24,1704569.02,"P.Immune","Men"
"145",25,1704013.22,"P.Immune","Men"
"146",26,1713693.25,"P.Immune","Men"
"147",27,1731349.76,"P.Immune","Men"
"148",28,1754731.77,"P.Immune","Men"
"149",29,1781711.61,"P.Immune","Men"
"150",30,1810386.42,"P.Immune","Men"
"151",1,986776.79,"P.Immune","Women"
"152",2,1036355.92,"P.Immune","Women"
"153",3,1084955.97,"P.Immune","Women"
"154",4,1131228.58,"P.Immune","Women"
"155",5,1174466.99,"P.Immune","Women"
"156",6,1213631.49,"P.Immune","Women"
"157",7,1247584.6,"P.Immune","Women"
"158",8,1275445.74,"P.Immune","Women"
"159",9,1296507.89,"P.Immune","Women"
"160",10,1310312.07,"P.Immune","Women"
"161",11,1316704.91,"P.Immune","Women"
"162",12,1315848.64,"P.Immune","Women"
"163",13,1308194.19,"P.Immune","Women"
"164",14,1294438.56,"P.Immune","Women"
"165",15,1275476.98,"P.Immune","Women"
"166",16,1252349.58,"P.Immune","Women"
"167",17,1226389.73,"P.Immune","Women"
"168",18,1199182.34,"P.Immune","Women"
"169",19,1172236.03,"P.Immune","Women"
"170",20,1147019.53,"P.Immune","Women"
"171",21,1124886.97,"P.Immune","Women"
"172",22,1107022.66,"P.Immune","Women"
"173",23,1094401.91,"P.Immune","Women"
"174",24,1087757.49,"P.Immune","Women"
"175",25,1087546.44,"P.Immune","Women"
"176",26,1093921.85,"P.Immune","Women"
"177",27,1106719.59,"P.Immune","Women"
"178",28,1125469.12,"P.Immune","Women"
"179",29,1149430.95,"P.Immune","Women"
"180",30,1177656.67,"P.Immune","Women"
"181",1,0,"CIN1","Men"
"182",2,0,"CIN1","Men"
"183",3,0,"CIN1","Men"
"184",4,0,"CIN1","Men"
"185",5,0,"CIN1","Men"
"186",6,0,"CIN1","Men"
"187",7,0,"CIN1","Men"
"188",8,0,"CIN1","Men"
"189",9,0,"CIN1","Men"
"190",10,0,"CIN1","Men"
"191",11,0,"CIN1","Men"
"192",12,0,"CIN1","Men"
"193",13,0,"CIN1","Men"
"194",14,0,"CIN1","Men"
"195",15,0,"CIN1","Men"
"196",16,0,"CIN1","Men"
"197",17,0,"CIN1","Men"
"198",18,0,"CIN1","Men"
"199",19,0,"CIN1","Men"
"200",20,0,"CIN1","Men"
"201",21,0,"CIN1","Men"
"202",22,0,"CIN1","Men"
"203",23,0,"CIN1","Men"
"204",24,0,"CIN1","Men"
"205",25,0,"CIN1","Men"
"206",26,0,"CIN1","Men"
"207",27,0,"CIN1","Men"
"208",28,0,"CIN1","Men"
"209",29,0,"CIN1","Men"
"210",30,0,"CIN1","Men"
"211",1,509797.62,"CIN1","Women"
"212",2,471886.69,"CIN1","Women"
"213",3,438458.52,"CIN1","Women"
"214",4,410131.78,"CIN1","Women"
"215",5,387079.73,"CIN1","Women"
"216",6,368935.33,"CIN1","Women"
"217",7,354883.33,"CIN1","Women"
"218",8,344064.63,"CIN1","Women"
"219",9,335649.66,"CIN1","Women"
"220",10,328908.44,"CIN1","Women"
"221",11,323231.78,"CIN1","Women"
"222",12,318133.55,"CIN1","Women"
"223",13,313246.08,"CIN1","Women"
"224",14,308312.71,"CIN1","Women"
"225",15,303178.16,"CIN1","Women"
"226",16,297776.53,"CIN1","Women"
"227",17,292257.74,"CIN1","Women"
"228",18,286957.06,"CIN1","Women"
"229",19,282157.31,"CIN1","Women"
"230",20,278134.13,"CIN1","Women"
"231",21,275135.9,"CIN1","Women"
"232",22,273365.67,"CIN1","Women"
"233",23,272965.88,"CIN1","Women"
"234",24,274009.02,"CIN1","Women"
"235",25,276495.34,"CIN1","Women"
"236",26,280356.22,"CIN1","Women"
"237",27,285462.05,"CIN1","Women"
"238",28,291633.63,"CIN1","Women"
"239",29,298656.15,"CIN1","Women"
"240",30,306294.67,"CIN1","Women"
"241",1,0,"CIN23","Men"
"242",2,0,"CIN23","Men"
"243",3,0,"CIN23","Men"
"244",4,0,"CIN23","Men"
"245",5,0,"CIN23","Men"
"246",6,0,"CIN23","Men"
"247",7,0,"CIN23","Men"
"248",8,0,"CIN23","Men"
"249",9,0,"CIN23","Men"
"250",10,0,"CIN23","Men"
"251",11,0,"CIN23","Men"
"252",12,0,"CIN23","Men"
"253",13,0,"CIN23","Men"
"254",14,0,"CIN23","Men"
"255",15,0,"CIN23","Men"
"256",16,0,"CIN23","Men"
"257",17,0,"CIN23","Men"
"258",18,0,"CIN23","Men"
"259",19,0,"CIN23","Men"
"260",20,0,"CIN23","Men"
"261",21,0,"CIN23","Men"
"262",22,0,"CIN23","Men"
"263",23,0,"CIN23","Men"
"264",24,0,"CIN23","Men"
"265",25,0,"CIN23","Men"
"266",26,0,"CIN23","Men"
"267",27,0,"CIN23","Men"
"268",28,0,"CIN23","Men"
"269",29,0,"CIN23","Men"
"270",30,0,"CIN23","Men"
"271",1,76206.82,"CIN23","Women"
"272",2,70721.07,"CIN23","Women"
"273",3,64688.9,"CIN23","Women"
"274",4,58622.31,"CIN23","Women"
"275",5,52947.47,"CIN23","Women"
"276",6,47891.31,"CIN23","Women"
"277",7,43505.46,"CIN23","Women"
"278",8,39751.35,"CIN23","Women"
"279",9,36561.13,"CIN23","Women"
"280",10,33862.77,"CIN23","Women"
"281",11,31586.33,"CIN23","Women"
"282",12,29665.22,"CIN23","Women"
"283",13,28037.46,"CIN23","Women"
"284",14,26647.51,"CIN23","Women"
"285",15,25447.89,"CIN23","Women"
"286",16,24400.01,"CIN23","Women"
"287",17,23475.37,"CIN23","Women"
"288",18,22659.65,"CIN23","Women"
"289",19,21948.68,"CIN23","Women"
"290",20,21344.47,"CIN23","Women"
"291",21,20852.8,"CIN23","Women"
"292",22,20480.99,"CIN23","Women"
"293",23,20235.81,"CIN23","Women"
"294",24,20121.67,"CIN23","Women"
"295",25,20139.45,"CIN23","Women"
"296",26,20285.65,"CIN23","Women"
"297",27,20552.14,"CIN23","Women"
"298",28,20926.37,"CIN23","Women"
"299",29,21392.03,"CIN23","Women"
"300",30,21930.08,"CIN23","Women"
"301",1,0,"Cancer","Men"
"302",2,0,"Cancer","Men"
"303",3,0,"Cancer","Men"
"304",4,0,"Cancer","Men"
"305",5,0,"Cancer","Men"
