"","Year","Value","Biological_Comp","Gender"
"1",1,7574276.24,"Susceptible","Men"
"2",2,7698676.76,"Susceptible","Men"
"3",3,7834915.58,"Susceptible","Men"
"4",4,7971821.58,"Susceptible","Men"
"5",5,8103499.52,"Susceptible","Men"
"6",6,7759104.85,"Susceptible","Men"
"7",7,7488923.21,"Susceptible","Men"
"8",8,7278964.98,"Susceptible","Men"
"9",9,7117641.79,"Susceptible","Men"
"10",10,6995333.92,"Susceptible","Men"
"11",11,6904155.93,"Susceptible","Men"
"12",12,6837751.48,"Susceptible","Men"
"13",13,6791071.52,"Susceptible","Men"
"14",14,6760144.97,"Susceptible","Men"
"15",15,6741864.19,"Susceptible","Men"
"16",16,6733800.62,"Susceptible","Men"
"17",17,7065835.59,"Susceptible","Men"
"18",18,7386994.88,"Susceptible","Men"
"19",19,7697450.93,"Susceptible","Men"
"20",20,7997781.66,"Susceptible","Men"
"21",21,8288791.69,"Susceptible","Men"
"22",22,8571347.63,"Susceptible","Men"
"23",23,8846238.06,"Susceptible","Men"
"24",24,9114062.68,"Susceptible","Men"
"25",25,9375152.3,"Susceptible","Men"
"26",26,9629521.68,"Susceptible","Men"
"27",27,9876859.85,"Susceptible","Men"
"28",28,10116564.22,"Susceptible","Men"
"29",29,10347821.8,"Susceptible","Men"
"30",30,10569732.07,"Susceptible","Men"
"31",1,10062130.4,"Susceptible","Women"
"32",2,10124063.23,"Susceptible","Women"
"33",3,10163852.45,"Susceptible","Women"
"34",4,10189822.82,"Susceptible","Women"
"35",5,10206894.08,"Susceptible","Women"
"36",6,9556475.61,"Susceptible","Women"
"37",7,9014950.48,"Susceptible","Women"
"38",8,8568558.76,"Susceptible","Women"
"39",9,8205836.84,"Susceptible","Women"
"40",10,7916272.44,"Susceptible","Women"
"41",11,7689615.01,"Susceptible","Women"
"42",12,7515965.96,"Susceptible","Women"
"43",13,7386139.71,"Susceptible","Women"
"44",14,7291963.11,"Susceptible","Women"
"45",15,7226417.53,"Susceptible","Women"
"46",16,7183644.48,"Susceptible","Women"
"47",17,7158796.97,"Susceptible","Women"
"48",18,7147824.96,"Susceptible","Women"
"49",19,7147556.01,"Susceptible","Women"
"50",20,7155557.84,"Susceptible","Women"
"51",21,7169978.31,"Susceptible","Women"
"52",22,7189411.49,"Susceptible","Women"
"53",23,7212789.38,"Susceptible","Women"
"54",24,7239297.28,"Susceptible","Women"
"55",25,7268309.85,"Susceptible","Women"
"56",26,7299343.99,"Susceptible","Women"
"57",27,7332024.46,"Susceptible","Women"
"58",28,7366058.69,"Susceptible","Women"
"59",29,7401217.89,"Susceptible","Women"
"60",30,7437322.5,"Susceptible","Women"
"61",1,914379.79,"Infected","Men"
"62",2,1046214.89,"Infected","Men"
"63",3,1151147.45,"Infected","Men"
"64",4,1239984.72,"Infected","Men"
"65",5,1319344.64,"Infected","Men"
"66",6,1377113.42,"Infected","Men"
"67",7,1403008.82,"Infected","Men"
"68",8,1403218.16,"Infected","Men"
"69",9,1382985.89,"Infected","Men"
"70",10,1346829.13,"Infected","Men"
"71",11,1298606.67,"Infected","Men"
"72",12,1241579.63,"Infected","Men"
"73",13,1178503.32,"Infected","Men"
"74",14,1111735.89,"Infected","Men"
"75",15,1043331.41,"Infected","Men"
"76",16,975091.95,"Infected","Men"
"77",17,916255.29,"Infected","Men"
"78",18,874000.27,"Infected","Men"
"79",19,846573,"Infected","Men"
"80",20,831929.93,"Infected","Men"
"81",21,827869.9,"Infected","Men"
"82",22,832160.12,"Infected","Men"
"83",23,842638.15,"Infected","Men"
"84",24,857282.88,"Infected","Men"
"85",25,874255.65,"Infected","Men"
"86",26,891918.78,"Infected","Men"
"87",27,908842.48,"Infected","Men"
"88",28,923811.08,"Infected","Men"
"89",29,935834.84,"Infected","Men"
"90",30,944166.91,"Infected","Men"
"91",1,977649.38,"Infected","Women"
"92",2,968549.9,"Infected","Women"
"93",3,975658.17,"Infected","Women"
"94",4,992058.53,"Infected","Women"
"95",5,1013551.83,"Infected","Women"
"96",6,998199.11,"Infected","Women"
"97",7,965205.24,"Infected","Women"
"98",8,917896.3,"Infected","Women"
"99",9,860726.81,"Infected","Women"
"100",10,798068.78,"Infected","Women"
"101",11,733556.82,"Infected","Women"
"102",12,669907.62,"Infected","Women"
"103",13,608997.8,"Infected","Women"
"104",14,552031.77,"Infected","Women"
"105",15,499710.5,"Infected","Women"
"106",16,452368.18,"Infected","Women"
"107",17,410153.98,"Infected","Women"
"108",18,373190.27,"Infected","Women"
"109",19,341340.75,"Infected","Women"
"110",20,314266.68,"Infected","Women"
"111",21,291508.98,"Infected","Women"
"112",22,272547.02,"Infected","Women"
"113",23,256842.09,"Infected","Women"
"114",24,243869.42,"Infected","Women"
"115",25,233140.94,"Infected","Women"
"116",26,224219.83,"Infected","Women"
"117",27,216728,"Infected","Women"
"118",28,210347.85,"Infected","Women"
"119",29,204819.61,"Infected","Women"
"120",30,199935.81,"Infected","Women"
"121",1,4541586,"P.Immune","Men"
"122",2,4371270.43,"P.Immune","Men"
"123",3,4208204.3,"P.Immune","Men"
"124",4,4049070.73,"P.Immune","Men"
"125",5,3891658.25,"P.Immune","Men"
"126",6,3735322.58,"P.Immune","Men"
"127",7,3578113.08,"P.Immune","Men"
"128",8,3417951.93,"P.Immune","Men"
"129",9,3253449.98,"P.Immune","Men"
"130",10,3083642.03,"P.Immune","Men"
"131",11,2907965.97,"P.Immune","Men"
"132",12,2726404.72,"P.Immune","Men"
"133",13,2539694.37,"P.Immune","Men"
"134",14,2349488.12,"P.Immune","Men"
"135",15,2158377,"P.Immune","Men"
"136",16,1969714.7,"P.Immune","Men"
"137",17,1787653.03,"P.Immune","Men"
"138",18,1617685.87,"P.Immune","Men"
"139",19,1464728.91,"P.Immune","Men"
"140",20,1332354.34,"P.Immune","Men"
"141",21,1222631.26,"P.Immune","Men"
"142",22,1136146.14,"P.Immune","Men"
"143",23,1072167.77,"P.Immune","Men"
"144",24,1028898.4,"P.Immune","Men"
"145",25,1003753.24,"P.Immune","Men"
"146",26,993627.02,"P.Immune","Men"
"147",27,995130.37,"P.Immune","Men"
"148",28,1004797.68,"P.Immune","Men"
"149",29,1019276.13,"P.Immune","Men"
"150",30,1035500.35,"P.Immune","Men"
"151",1,986776.79,"P.Immune","Women"
"152",2,1031826.35,"P.Immune","Women"
"153",3,1076121.82,"P.Immune","Women"
"154",4,1118529.57,"P.Immune","Women"
"155",5,1158569.15,"P.Immune","Women"
"156",6,1192913.75,"P.Immune","Women"
"157",7,1216604.35,"P.Immune","Women"
"158",8,1227211.73,"P.Immune","Women"
"159",9,1223460.34,"P.Immune","Women"
"160",10,1205178.86,"P.Immune","Women"
"161",11,1173131.21,"P.Immune","Women"
"162",12,1128830.71,"P.Immune","Women"
"163",13,1074355.04,"P.Immune","Women"
"164",14,1012160.63,"P.Immune","Women"
"165",15,944895.97,"P.Immune","Women"
"166",16,875217.14,"P.Immune","Women"
"167",17,805599.49,"P.Immune","Women"
"168",18,738191.27,"P.Immune","Women"
"169",19,674765.21,"P.Immune","Women"
"170",20,616631.6,"P.Immune","Women"
"171",21,564601.85,"P.Immune","Women"
"172",22,519011.29,"P.Immune","Women"
"173",23,479787.28,"P.Immune","Women"
"174",24,446544.84,"P.Immune","Women"
"175",25,418691.3,"P.Immune","Women"
"176",26,395524.43,"P.Immune","Women"
"177",27,376313.77,"P.Immune","Women"
"178",28,360359.95,"P.Immune","Women"
"179",29,347032.12,"P.Immune","Women"
"180",30,335786.36,"P.Immune","Women"
"181",1,0,"CIN1","Men"
"182",2,0,"CIN1","Men"
"183",3,0,"CIN1","Men"
"184",4,0,"CIN1","Men"
"185",5,0,"CIN1","Men"
"186",6,0,"CIN1","Men"
"187",7,0,"CIN1","Men"
"188",8,0,"CIN1","Men"
"189",9,0,"CIN1","Men"
"190",10,0,"CIN1","Men"
"191",11,0,"CIN1","Men"
"192",12,0,"CIN1","Men"
"193",13,0,"CIN1","Men"
"194",14,0,"CIN1","Men"
"195",15,0,"CIN1","Men"
"196",16,0,"CIN1","Men"
"197",17,0,"CIN1","Men"
"198",18,0,"CIN1","Men"
"199",19,0,"CIN1","Men"
"200",20,0,"CIN1","Men"
"201",21,0,"CIN1","Men"
"202",22,0,"CIN1","Men"
"203",23,0,"CIN1","Men"
"204",24,0,"CIN1","Men"
"205",25,0,"CIN1","Men"
"206",26,0,"CIN1","Men"
"207",27,0,"CIN1","Men"
"208",28,0,"CIN1","Men"
"209",29,0,"CIN1","Men"
"210",30,0,"CIN1","Men"
"211",1,509797.62,"CIN1","Women"
"212",2,474953.44,"CIN1","Women"
"213",3,444194.61,"CIN1","Women"
"214",4,418122.43,"CIN1","Women"
"215",5,396847.75,"CIN1","Women"
"216",6,378473.74,"CIN1","Women"
"217",7,360227.37,"CIN1","Women"
"218",8,341120.2,"CIN1","Women"
"219",9,320816.34,"CIN1","Women"
"220",10,299461.67,"CIN1","Women"
"221",11,277466.5,"CIN1","Women"
"222",12,255338.22,"CIN1","Women"
"223",13,233578.32,"CIN1","Women"
"224",14,212628.7,"CIN1","Women"
"225",15,192847.95,"CIN1","Women"
"226",16,174503.66,"CIN1","Women"
"227",17,157774.67,"CIN1","Women"
