"","Year","Value","Biological_Comp","Gender"
"1",1,7574276.24,"Susceptible","Men"
"2",2,7698924.18,"Susceptible","Men"
"3",3,7835877.12,"Susceptible","Men"
"4",4,7973949.75,"Susceptible","Men"
"5",5,8107242.73,"Susceptible","Men"
"6",6,8101591.45,"Susceptible","Men"
"7",7,8099336.64,"Susceptible","Men"
"8",8,8099888.62,"Susceptible","Men"
"9",9,8102924.73,"Susceptible","Men"
"10",10,8109318.13,"Susceptible","Men"
"11",11,8120503.43,"Susceptible","Men"
"12",12,8136743.6,"Susceptible","Men"
"13",13,8157919.15,"Susceptible","Men"
"14",14,8183630.47,"Susceptible","Men"
"15",15,8213316.85,"Susceptible","Men"
"16",16,8246371.84,"Susceptible","Men"
"17",17,8422220.47,"Susceptible","Men"
"18",18,8589396.01,"Susceptible","Men"
"19",19,8747317.11,"Susceptible","Men"
"20",20,8895789.5,"Susceptible","Men"
"21",21,9034940.24,"Susceptible","Men"
"22",22,9165110.8,"Susceptible","Men"
"23",23,9286747.03,"Susceptible","Men"
"24",24,9400313.01,"Susceptible","Men"
"25",25,9506238.81,"Susceptible","Men"
"26",26,9604899.31,"Susceptible","Men"
"27",27,9696615.6,"Susceptible","Men"
"28",28,9781670.18,"Susceptible","Men"
"29",29,9860329.23,"Susceptible","Men"
"30",30,9932866.45,"Susceptible","Men"
"31",1,10062130.4,"Susceptible","Women"
"32",2,10124088.58,"Susceptible","Women"
"33",3,10164038.56,"Susceptible","Women"
"34",4,10190399.07,"Susceptible","Women"
"35",5,10208145.02,"Susceptible","Women"
"36",6,10220584.79,"Susceptible","Women"
"37",7,10230286.16,"Susceptible","Women"
"38",8,10239129.82,"Susceptible","Women"
"39",9,10248474.19,"Susceptible","Women"
"40",10,9597966.39,"Susceptible","Women"
"41",11,9061790.06,"Susceptible","Women"
"42",12,8622377.82,"Susceptible","Women"
"43",13,8265976.42,"Susceptible","Women"
"44",14,7980785.04,"Susceptible","Women"
"45",15,7755971.14,"Susceptible","Women"
"46",16,7581539.55,"Susceptible","Women"
"47",17,7825185.93,"Susceptible","Women"
"48",18,8073512.9,"Susceptible","Women"
"49",19,8323007.92,"Susceptible","Women"
"50",20,8570406.71,"Susceptible","Women"
"51",21,8813153.3,"Susceptible","Women"
"52",22,9049526.4,"Susceptible","Women"
"53",23,9278471.67,"Susceptible","Women"
"54",24,9499333.77,"Susceptible","Women"
"55",25,9711614.15,"Susceptible","Women"
"56",26,9914800.55,"Susceptible","Women"
"57",27,10108275.9,"Susceptible","Women"
"58",28,10291301.88,"Susceptible","Women"
"59",29,10463068.15,"Susceptible","Women"
"60",30,10622790.66,"Susceptible","Women"
"61",1,914379.79,"Infected","Men"
"62",2,1045753.47,"Infected","Men"
"63",3,1149440.61,"Infected","Men"
"64",4,1236419,"Infected","Men"
"65",5,1313459.18,"Infected","Men"
"66",6,1380728.35,"Infected","Men"
"67",7,1437245.5,"Infected","Men"
"68",8,1485092.91,"Infected","Men"
"69",9,1525644.13,"Infected","Men"
"70",10,1558117.71,"Infected","Men"
"71",11,1580976.94,"Infected","Men"
"72",12,1594500.12,"Infected","Men"
"73",13,1599311.45,"Infected","Men"
"74",14,1596238.99,"Infected","Men"
"75",15,1586223.3,"Infected","Men"
"76",16,1570261.08,"Infected","Men"
"77",17,1554550.54,"Infected","Men"
"78",18,1544535.06,"Infected","Men"
"79",19,1539969.26,"Infected","Men"
"80",20,1540467.87,"Infected","Men"
"81",21,1545541.94,"Infected","Men"
"82",22,1554631.08,"Infected","Men"
"83",23,1567130.23,"Infected","Men"
"84",24,1582411.41,"Infected","Men"
"85",25,1599841.57,"Infected","Men"
"86",26,1618798.5,"Infected","Men"
"87",27,1638686.75,"Infected","Men"
