"","Year","Value","Biological_Comp","Gender"
"1",1,7574276.24,"Susceptible","Men"
"2",2,7698676.76,"Susceptible","Men"
"3",3,7834915.58,"Susceptible","Men"
"4",4,7971821.58,"Susceptible","Men"
"5",5,8103499.52,"Susceptible","Men"
"6",6,7802331.19,"Susceptible","Men"
"7",7,7553198.06,"Susceptible","Men"
"8",8,7349094.69,"Susceptible","Men"
"9",9,7184360.48,"Susceptible","Men"
"10",10,7053861.75,"Susceptible","Men"
"11",11,6952703.56,"Susceptible","Men"
"12",12,6876298.42,"Susceptible","Men"
"13",13,6820508.29,"Susceptible","Men"
"14",14,6781726.72,"Susceptible","Men"
"15",15,6756888.25,"Susceptible","Men"
"16",16,6743433.78,"Susceptible","Men"
"17",17,7061822.77,"Susceptible","Men"
"18",18,7369906.07,"Susceptible","Men"
"19",19,7666713.53,"Susceptible","Men"
"20",20,7951766.15,"Susceptible","Men"
"21",21,8224951.23,"Susceptible","Men"
"22",22,8486376.48,"Susceptible","Men"
"23",23,8736209.23,"Susceptible","Men"
"24",24,8974541.61,"Susceptible","Men"
"25",25,9201304.46,"Susceptible","Men"
"26",26,9416232.39,"Susceptible","Men"
"27",27,9618874.05,"Susceptible","Men"
"28",28,9808642.31,"Susceptible","Men"
"29",29,9984898.55,"Susceptible","Men"
"30",30,10147061.16,"Susceptible","Men"
"31",1,10062130.4,"Susceptible","Women"
"32",2,10124063.23,"Susceptible","Women"
"33",3,10163852.45,"Susceptible","Women"
"34",4,10189822.82,"Susceptible","Women"
"35",5,10206894.08,"Susceptible","Women"
"36",6,9556102.39,"Susceptible","Women"
"37",7,9012984.41,"Susceptible","Women"
"38",8,8563737.89,"Susceptible","Women"
"39",9,8197277.75,"Susceptible","Women"
"40",10,7903541.29,"Susceptible","Women"
"41",11,7672646.41,"Susceptible","Women"
"42",12,7494942.03,"Susceptible","Women"
"43",13,7361381.08,"Susceptible","Women"
"44",14,7263848.59,"Susceptible","Women"
"45",15,7195332.59,"Susceptible","Women"
"46",16,7149952.31,"Susceptible","Women"
"47",17,7472304.57,"Susceptible","Women"
"48",18,7794853.53,"Susceptible","Women"
"49",19,8115214.6,"Susceptible","Women"
"50",20,8431284.03,"Susceptible","Women"
"51",21,8741373.41,"Susceptible","Women"
"52",22,9044199.45,"Susceptible","Women"
"53",23,9338739.42,"Susceptible","Women"
"54",24,9624058.05,"Susceptible","Women"
"55",25,9899172.59,"Susceptible","Women"
"56",26,10162977.07,"Susceptible","Women"
"57",27,10414226.44,"Susceptible","Women"
"58",28,10651577.64,"Susceptible","Women"
"59",29,10873682.74,"Susceptible","Women"
"60",30,11079321.29,"Susceptible","Women"
"61",1,914379.79,"Infected","Men"
"62",2,1046214.89,"Infected","Men"
"63",3,1151147.45,"Infected","Men"
"64",4,1239984.72,"Infected","Men"
"65",5,1319344.64,"Infected","Men"
"66",6,1378195.69,"Infected","Men"
"67",7,1406095.89,"Infected","Men"
"68",8,1408302.75,"Infected","Men"
"69",9,1389930.15,"Infected","Men"
"70",10,1355665.89,"Infected","Men"
"71",11,1309546.87,"Infected","Men"
"72",12,1254915.33,"Infected","Men"
"73",13,1194509.16,"Infected","Men"
"74",14,1130605.18,"Infected","Men"
"75",15,1065150.21,"Infected","Men"
"76",16,999842.22,"Infected","Men"
"77",17,944441.25,"Infected","Men"
"78",18,907106.47,"Infected","Men"
"79",19,886559.87,"Infected","Men"
"80",20,881096.72,"Infected","Men"
"81",21,888757.92,"Infected","Men"
"82",22,907484.19,"Infected","Men"
"83",23,935229.57,"Infected","Men"
"84",24,970033.91,"Infected","Men"
"85",25,1010061.09,"Infected","Men"
"86",26,1053613.36,"Infected","Men"
"87",27,1099134.61,"Infected","Men"
"88",28,1145215.89,"Infected","Men"
"89",29,1190611.88,"Infected","Men"
"90",30,1234269.8,"Infected","Men"
"91",1,977649.38,"Infected","Women"
"92",2,968549.9,"Infected","Women"
"93",3,975658.17,"Infected","Women"
"94",4,992058.53,"Infected","Women"
"95",5,1013551.83,"Infected","Women"
"96",6,998613.76,"Infected","Women"
"97",7,967359.36,"Infected","Women"
"98",8,923118.99,"Infected","Women"
"99",9,869911.69,"Infected","Women"
"100",10,811614.71,"Infected","Women"
"101",11,751461.14,"Infected","Women"
"102",12,691895.32,"Infected","Women"
"103",13,634637.63,"Infected","Women"
"104",14,580824.93,"Infected","Women"
"105",15,531152.21,"Infected","Women"
"106",16,485986.61,"Infected","Women"
"107",17,460304.75,"Infected","Women"
"108",18,447060.56,"Infected","Women"
"109",19,444741.92,"Infected","Women"
"110",20,451756.32,"Infected","Women"
"111",21,466543.2,"Infected","Women"
"112",22,487650.27,"Infected","Women"
"113",23,513757.18,"Infected","Women"
"114",24,543668.22,"Infected","Women"
"115",25,576294.06,"Infected","Women"
"116",26,610633.68,"Infected","Women"
"117",27,645762.76,"Infected","Women"
"118",28,680832.68,"Infected","Women"
"119",29,715081.73,"Infected","Women"
"120",30,747856.56,"Infected","Women"
"121",1,4541586,"P.Immune","Men"
"122",2,4371270.43,"P.Immune","Men"
"123",3,4208204.3,"P.Immune","Men"
"124",4,4049070.73,"P.Immune","Men"
"125",5,3891658.25,"P.Immune","Men"
"126",6,3735341.69,"P.Immune","Men"
"127",7,3578139.69,"P.Immune","Men"
"128",8,3417819.86,"P.Immune","Men"
"129",9,3252911.84,"P.Immune","Men"
"130",10,3082487.34,"P.Immune","Men"
"131",11,2906102.24,"P.Immune","Men"
"132",12,2723895,"P.Immune","Men"
"133",13,2536761.76,"P.Immune","Men"
"134",14,2346497.04,"P.Immune","Men"
"135",15,2155798.42,"P.Immune","Men"
"136",16,1968081.98,"P.Immune","Men"
"137",17,1787441.98,"P.Immune","Men"
"138",18,1619395.58,"P.Immune","Men"
"139",19,1469063.87,"P.Immune","Men"
"140",20,1340261.86,"P.Immune","Men"
"141",21,1235313,"P.Immune","Men"
"142",22,1155057.32,"P.Immune","Men"
"143",23,1099007.93,"P.Immune","Men"
"144",24,1065593.85,"P.Immune","Men"
"145",25,1052429.44,"P.Immune","Men"
"146",26,1056569.03,"P.Immune","Men"
"147",27,1074730.23,"P.Immune","Men"
"148",28,1103490.1,"P.Immune","Men"
"149",29,1139466.75,"P.Immune","Men"
"150",30,1179493.83,"P.Immune","Men"
"151",1,986776.79,"P.Immune","Women"
"152",2,1031826.35,"P.Immune","Women"
"153",3,1076121.82,"P.Immune","Women"
"154",4,1118529.57,"P.Immune","Women"
"155",5,1158569.15,"P.Immune","Women"
"156",6,1192873.71,"P.Immune","Women"
"157",7,1216437.9,"P.Immune","Women"
"158",8,1226917.8,"P.Immune","Women"
"159",9,1223163.09,"P.Immune","Women"
"160",10,1205119.6,"P.Immune","Women"
"161",11,1173645.14,"P.Immune","Women"
"162",12,1130318.95,"P.Immune","Women"
"163",13,1077254.9,"P.Immune","Women"
"164",14,1016915.65,"P.Immune","Women"
"165",15,951927.86,"P.Immune","Women"
"166",16,884901.89,"P.Immune","Women"
"167",17,819257.88,"P.Immune","Women"
"168",18,758879.81,"P.Immune","Women"
"169",19,706466.23,"P.Immune","Women"
"170",20,664008.52,"P.Immune","Women"
"171",21,632790.24,"P.Immune","Women"
"172",22,613426.02,"P.Immune","Women"
"173",23,605919.66,"P.Immune","Women"
"174",24,609734.6,"P.Immune","Women"
"175",25,623871.14,"P.Immune","Women"
"176",26,646945.61,"P.Immune","Women"
"177",27,677272.73,"P.Immune","Women"
"178",28,712958.77,"P.Immune","Women"
"179",29,752013.12,"P.Immune","Women"
"180",30,792478.21,"P.Immune","Women"
"181",1,0,"CIN1","Men"
"182",2,0,"CIN1","Men"
"183",3,0,"CIN1","Men"
"184",4,0,"CIN1","Men"
"185",5,0,"CIN1","Men"
"186",6,0,"CIN1","Men"
"187",7,0,"CIN1","Men"
"188",8,0,"CIN1","Men"
"189",9,0,"CIN1","Men"
"190",10,0,"CIN1","Men"
"191",11,0,"CIN1","Men"
"192",12,0,"CIN1","Men"
"193",13,0,"CIN1","Men"
"194",14,0,"CIN1","Men"
"195",15,0,"CIN1","Men"
"196",16,0,"CIN1","Men"
"197",17,0,"CIN1","Men"
"198",18,0,"CIN1","Men"
"199",19,0,"CIN1","Men"
"200",20,0,"CIN1","Men"
"201",21,0,"CIN1","Men"
"202",22,0,"CIN1","Men"
"203",23,0,"CIN1","Men"
"204",24,0,"CIN1","Men"
"205",25,0,"CIN1","Men"
"206",26,0,"CIN1","Men"
"207",27,0,"CIN1","Men"
"208",28,0,"CIN1","Men"
"209",29,0,"CIN1","Men"
"210",30,0,"CIN1","Men"
"211",1,509797.62,"CIN1","Women"
"212",2,474953.44,"CIN1","Women"
"213",3,444194.61,"CIN1","Women"
"214",4,418122.43,"CIN1","Women"
"215",5,396847.75,"CIN1","Women"
"216",6,378484.42,"CIN1","Women"
"217",7,360333.29,"CIN1","Women"
"218",8,341495.25,"CIN1","Women"
"219",9,321677.15,"CIN1","Women"
"220",10,301016.78,"CIN1","Women"
"221",11,279882.43,"CIN1","Women"
"222",12,258724.27,"CIN1","Women"
"223",13,237985.63,"CIN1","Women"
"224",14,218057.92,"CIN1","Women"
"225",15,199261.11,"CIN1","Women"
"226",16,181836.8,"CIN1","Women"
