"","Year","Value","Biological_Comp","Gender"
"1",1,7574276.24,"Susceptible","Men"
"2",2,7698924.18,"Susceptible","Men"
"3",3,7835877.12,"Susceptible","Men"
"4",4,7973949.75,"Susceptible","Men"
"5",5,8107242.73,"Susceptible","Men"
"6",6,8050195.38,"Susceptible","Men"
"7",7,7997232.9,"Susceptible","Men"
"8",8,7949667.35,"Susceptible","Men"
"9",9,7908793.56,"Susceptible","Men"
"10",10,7875733.18,"Susceptible","Men"
"11",11,7851335.23,"Susceptible","Men"
"12",12,8027304.21,"Susceptible","Men"
"13",13,8198482.58,"Susceptible","Men"
"14",14,8363783.56,"Susceptible","Men"
"15",15,8522193.51,"Susceptible","Men"
"16",16,8672751.23,"Susceptible","Men"
"17",17,8814561.22,"Susceptible","Men"
"18",18,8946850.14,"Susceptible","Men"
"19",19,9069045.95,"Susceptible","Men"
"20",20,9180841.49,"Susceptible","Men"
"21",21,9282215.38,"Susceptible","Men"
"22",22,9373407.47,"Susceptible","Men"
"23",23,9454865.14,"Susceptible","Men"
"24",24,9527182.81,"Susceptible","Men"
"25",25,9591051.35,"Susceptible","Men"
"26",26,9647223.94,"Susceptible","Men"
"27",27,9696495.63,"Susceptible","Men"
"28",28,9739689.48,"Susceptible","Men"
"29",29,9777642.23,"Susceptible","Men"
"30",30,9811185.81,"Susceptible","Men"
"31",1,10062130.4,"Susceptible","Women"
"32",2,10124088.58,"Susceptible","Women"
"33",3,10164038.56,"Susceptible","Women"
"34",4,10190399.07,"Susceptible","Women"
"35",5,10208145.02,"Susceptible","Women"
"36",6,9856189.72,"Susceptible","Women"
"37",7,9552397.02,"Susceptible","Women"
"38",8,9293895.07,"Susceptible","Women"
"39",9,9077142.75,"Susceptible","Women"
"40",10,8898251.14,"Susceptible","Women"
"41",11,8753213.61,"Susceptible","Women"
"42",12,8911194.32,"Susceptible","Women"
"43",13,9067556.72,"Susceptible","Women"
"44",14,9221291.02,"Susceptible","Women"
"45",15,9371534.44,"Susceptible","Women"
"46",16,9517579.8,"Susceptible","Women"
"47",17,9658862.39,"Susceptible","Women"
"48",18,9794935.76,"Susceptible","Women"
"49",19,9925442.48,"Susceptible","Women"
"50",20,10050082.74,"Susceptible","Women"
"51",21,10168585.39,"Susceptible","Women"
"52",22,10280688.12,"Susceptible","Women"
"53",23,10386134.69,"Susceptible","Women"
"54",24,10484692.47,"Susceptible","Women"
"55",25,10576187.56,"Susceptible","Women"
"56",26,10660547.78,"Susceptible","Women"
"57",27,10737840.75,"Susceptible","Women"
"58",28,10808295.89,"Susceptible","Women"
"59",29,10872304.24,"Susceptible","Women"
"60",30,10930396.19,"Susceptible","Women"
"61",1,914379.79,"Infected","Men"
"62",2,1045753.47,"Infected","Men"
"63",3,1149440.61,"Infected","Men"
"64",4,1236419,"Infected","Men"
"65",5,1313459.18,"Infected","Men"
"66",6,1378009.6,"Infected","Men"
"67",7,1425576.95,"Infected","Men"
"68",8,1457685.96,"Infected","Men"
"69",9,1475850.02,"Infected","Men"
"70",10,1481694.25,"Infected","Men"
"71",11,1476949.37,"Infected","Men"
"72",12,1470036.16,"Infected","Men"
"73",13,1468626.1,"Infected","Men"
"74",14,1473002.09,"Infected","Men"
"75",15,1483063.71,"Infected","Men"
"76",16,1498442.44,"Infected","Men"
"77",17,1518595.81,"Infected","Men"
"78",18,1542878.32,"Infected","Men"
"79",19,1570590.8,"Infected","Men"
"80",20,1601007.87,"Infected","Men"
"81",21,1633388.16,"Infected","Men"
"82",22,1666977.3,"Infected","Men"
"83",23,1701016.11,"Infected","Men"
"84",24,1734762.15,"Infected","Men"
"85",25,1767525.73,"Infected","Men"
"86",26,1798713.79,"Infected","Men"
"87",27,1827871.06,"Infected","Men"
